特征,系列,IC,RIC,ICIR,RICIR,IC均值,RIC均值,Fitness,有效样本
I8,I,-0.0028240523411654857,-0.01007951651845943,0.012588728056814146,0.019632370695866663,0.0028561817523709027,0.00447189758874457,0.039884009909793024,8015
V3,V,-0.002561481400310323,-0.0017395892795756477,0.011168888521418712,0.007234737508422174,0.0025320432017235154,0.0016375329519312536,0.0037900882170130495,8015
S10,S,-0.002323244379390065,-0.0010970633507367267,0.0,0.0,0.0,0.0,0.0,8015
E3,E,-0.002117669686196988,-0.004840175814798665,-1.9661029248965853,-1.9260814700737163,-0.32435440771736346,-0.3228343495055798,0.0,8015
V4,V,0.0020369871384723452,-0.00111071832596903,-0.00010236568493661068,0.005281495431587224,-2.2011459473679054e-05,0.001143495553106187,-0.0016442607069845191,8015
E8,E,-0.0019884617290172324,0.003641667387238523,0.03798738373648715,0.056300320457782486,0.00816221479201166,0.012172576338585485,-0.017181969628119076,8015
I4,I,0.0019650160321058206,-0.0032223942774593055,-0.10668266550128794,-0.09132538834909075,-0.023517950755546326,-0.019761834111259317,0.0,8015
V5,V,-0.0019350681685537802,-0.005843064675962116,-0.28113374332234364,-0.2772279616836069,-0.06297249623906691,-0.0629442765792987,0.0,7509
V2,V,0.0019144737060990025,0.0007010627384290455,0.014912132501673154,0.02518832152170597,0.0032825232477182624,0.005670266474271852,0.002130129000477723,8015
E2,E,-0.001873981236843853,-0.006043805608124428,-1.9899168664286908,-1.9457098755661364,-0.32728304576627487,-0.32456792305927396,0.0,8015
M9,M,-0.0018104551665475204,-0.009959508667835596,-1.5456193864034005,-1.7314462670606883,-0.28673318624224414,-0.3007836625079457,0.0,8015
E20,E,-0.0013955647080838877,-0.00843358148321358,0.02237501130854135,0.037769346793792354,0.004859072915560973,0.008160124112067334,0.022873454548911855,7405
D9,D,0.0010697781581021411,0.0046088344396328276,0.0,0.0,0.0,0.0,0.0,9021
E14,E,0.0010424715764777133,-0.005356286045677554,0.0366956008219888,0.02792105500552249,0.007606368861456624,0.005742317034102522,-0.009330263232292482,8015
S4,S,-0.0009626905451609585,0.0001504903678054715,0.0,0.0,0.0,0.0,0.0,8015
M14,M,-0.0007998963281613579,0.004783323662236302,0.5396185195450113,0.48508496126600015,0.12608902708973327,0.11201139764489211,-0.02664847597848307,3481
P6,P,-0.0006865049377310171,-0.0008609489236932368,0.5570614521536152,0.5202989449519017,0.11515875057832937,0.10546164425530273,0.004263316012596334,7383
P1,P,0.0004772330497264691,0.0012602154074436084,-0.0029386958997224878,0.010435009818221668,-0.0006622097676698901,0.0023504185422357883,0.0006143582974460674,8015
S11,S,0.00044056064378282175,-0.0006452062750937959,0.0,0.0,0.0,0.0,0.0,8015
V1,V,0.00029680306021863216,0.006582232837215245,0.0,0.0,0.0,0.0,0.0,8015
is_scored,i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9021
