feature,gain,split,category
lagged_forward_returns_zscore14,0.0,0.0,other
E6_zscore30,0.0,0.0,other
E6_zscore14,0.0,0.0,other
I2_zscore30,0.0,0.0,other
I2_zscore14,0.0,0.0,other
M18_zscore30,0.0,0.0,other
M18_zscore14,0.0,0.0,other
M1_zscore30,0.0,0.0,other
S11_zscore30,0.0,0.0,other
E4_zscore14,0.0,0.0,other
S11_zscore14,0.0,0.0,other
E8_zscore30,0.0,0.0,other
E8_zscore14,0.0,0.0,other
I9_zscore30,0.0,0.0,other
I9_zscore14,0.0,0.0,other
M13_zscore30,0.0,0.0,other
M13_zscore14,0.0,0.0,other
E10_zscore30,0.0,0.0,other
E10_zscore14,0.0,0.0,other
E20_zscore30,0.0,0.0,other
E20_zscore14,0.0,0.0,other
E4_zscore30,0.0,0.0,other
S6_zscore14,0.0,0.0,other
P7_zscore14,0.0,0.0,other
M7_x_M4,0.0,0.0,interaction
D2_zscore14,0.0,0.0,other
D9_zscore14,0.0,0.0,other
D8_zscore30,0.0,0.0,other
D8_zscore14,0.0,0.0,other
D7_zscore30,0.0,0.0,other
D7_zscore14,0.0,0.0,other
D5_zscore30,0.0,0.0,other
D5_zscore14,0.0,0.0,other
D4_zscore30,0.0,0.0,other
D4_zscore14,0.0,0.0,other
D3_zscore30,0.0,0.0,other
D3_zscore14,0.0,0.0,other
D2_zscore30,0.0,0.0,other
D1_zscore30,0.0,0.0,other
P11_zscore14,0.0,0.0,other
D1_zscore14,0.0,0.0,other
S7_div_S2,0.0,0.0,other
S7_x_S2,0.0,0.0,interaction
M4_div_S2,0.0,0.0,other
M4_x_S2,0.0,0.0,interaction
M4_div_S7,0.0,0.0,other
M4_x_S7,0.0,0.0,interaction
M7_div_S2,0.0,0.0,other
M7_x_S2,0.0,0.0,interaction
M7_div_S7,0.0,0.0,other
M7_x_S7,0.0,0.0,interaction
M7_div_M4,0.0,0.0,other
D9_zscore30,0.0,0.0,other
P11_zscore30,0.0,0.0,other
V5_zscore30,0.0,0.0,other
M7_zscore14,0.0,0.0,other
V5_zscore14,0.0,0.0,other
P12_zscore30,0.0,0.0,other
P12_zscore14,0.0,0.0,other
V13_zscore30,0.0,0.0,other
V13_zscore14,0.0,0.0,other
S2_zscore30,0.0,0.0,other
S2_zscore14,0.0,0.0,other
S7_zscore30,0.0,0.0,other
S7_zscore14,0.0,0.0,other
M4_zscore30,0.0,0.0,other
M4_zscore14,0.0,0.0,other
M7_zscore30,0.0,0.0,other
M11_zscore30,0.0,0.0,other
V7_zscore14,0.0,0.0,other
M11_zscore14,0.0,0.0,other
V3_zscore30,0.0,0.0,other
V3_zscore14,0.0,0.0,other
S5_zscore30,0.0,0.0,other
S5_zscore14,0.0,0.0,other
M8_zscore30,0.0,0.0,other
M8_zscore14,0.0,0.0,other
P3_zscore30,0.0,0.0,other
P3_zscore14,0.0,0.0,other
D6_zscore30,0.0,0.0,other
D6_zscore14,0.0,0.0,other
V7_zscore30,0.0,0.0,other
P11_x_V7,0.0,0.0,interaction
D9_div_S2,0.0,0.0,other
D9_x_S2,0.0,0.0,interaction
D3_div_D9,0.0,0.0,other
D3_div_S5,0.0,0.0,other
D3_x_S5,0.0,0.0,interaction
D3_div_M8,0.0,0.0,other
D3_x_M8,0.0,0.0,interaction
D3_div_P3,0.0,0.0,other
